comparison,description,tier,metric,mean_a,mean_b,abs_diff,ci_low,ci_high,pct_lift,stat,p_value,q_value,significant
voucher_vs_none,Any voucher vs. no voucher issued,0-29,order_rate,0.08173,0.0789,0.00283,-0.00073,0.0064,3.58665,1.55633,0.11963,0.27161,False
voucher_vs_none,Any voucher vs. no voucher issued,0-29,profit_per_user,0.1547,0.15032,0.00439,-0.00285,0.01162,2.91806,1.18866,0.23458,0.44508,False
voucher_vs_none,Any voucher vs. no voucher issued,30-69,order_rate,0.09897,0.09562,0.00336,-0.0025,0.00921,3.50975,1.1239,0.26105,0.39158,False
voucher_vs_none,Any voucher vs. no voucher issued,30-69,profit_per_user,0.14204,0.15685,-0.01481,-0.02445,-0.00516,-9.44234,-3.00965,0.00262,0.03141,True
voucher_vs_none,Any voucher vs. no voucher issued,70-79,order_rate,0.10581,0.0891,0.01671,0.0082,0.02522,18.75052,3.84701,0.00012,0.00287,True
voucher_vs_none,Any voucher vs. no voucher issued,70-79,profit_per_user,0.10713,0.10512,0.00201,-0.00804,0.01205,1.91073,0.39197,0.69508,0.8341,False
voucher_vs_none,Any voucher vs. no voucher issued,80-89,order_rate,0.10501,0.09487,0.01013,0.00112,0.01916,10.68153,2.20381,0.02754,0.11015,False
voucher_vs_none,Any voucher vs. no voucher issued,80-89,profit_per_user,0.07911,0.08128,-0.00218,-0.00993,0.00558,-2.67602,-0.54966,0.58256,0.82244,False
voucher_vs_none,Any voucher vs. no voucher issued,90-99,order_rate,0.11668,0.10233,0.01435,0.00067,0.02806,14.02772,2.05667,0.03972,0.13618,False
voucher_vs_none,Any voucher vs. no voucher issued,90-99,profit_per_user,0.06423,0.06232,0.00191,-0.0066,0.01042,3.06351,0.43966,0.6602,0.8341,False
voucher_vs_none,Any voucher vs. no voucher issued,100,order_rate,0.03702,0.03174,0.00528,0.00178,0.00878,16.62424,2.95739,0.0031,0.03698,True
voucher_vs_none,Any voucher vs. no voucher issued,100,profit_per_user,0.0284,0.03031,-0.00191,-0.00511,0.00128,-6.30762,-1.1723,0.24108,0.44508,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),0-29,order_rate,0.08385,0.08173,0.00212,-0.0015,0.00574,2.58945,1.14622,0.2517,0.39158,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),0-29,profit_per_user,0.1575,0.1547,0.00279,-0.0045,0.01008,1.80476,0.75043,0.453,0.6795,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),30-69,order_rate,0.09871,0.09897,-0.00026,-0.00613,0.0056,-0.26766,-0.08851,0.92947,0.99812,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),30-69,profit_per_user,0.14672,0.14204,0.00468,-0.00453,0.01389,3.2954,0.99609,0.31921,0.54722,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),70-79,order_rate,0.09976,0.10581,-0.00605,-0.01479,0.00269,-5.71964,-1.35744,0.17464,0.32242,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),70-79,profit_per_user,0.10612,0.10713,-0.00101,-0.01079,0.00877,-0.94481,-0.20289,0.83922,0.87571,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),80-89,order_rate,0.09807,0.10501,-0.00694,-0.01605,0.00217,-6.60439,-1.49312,0.13541,0.27161,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),80-89,profit_per_user,0.08587,0.07911,0.00676,-0.00119,0.01471,8.54668,1.66687,0.09556,0.28668,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),90-99,order_rate,0.11667,0.11668,-2e-05,-0.01402,0.01396,-0.0144,-0.00236,0.99812,0.99812,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),90-99,profit_per_user,0.07089,0.06423,0.00666,-0.00203,0.01534,10.36713,1.50281,0.13293,0.35447,False
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),100,order_rate,0.03213,0.03702,-0.00489,-0.0084,-0.00139,-13.21206,-2.73897,0.00616,0.03698,True
minspend_299_vs_249,Raise min-spend $249 -> $299 (same copay/count),100,profit_per_user,0.02635,0.0284,-0.00204,-0.00499,0.00091,-7.19191,-1.35623,0.17503,0.42008,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),0-29,order_rate,0.08161,0.08173,-0.00012,-0.00372,0.00347,-0.15118,-0.06731,0.94633,0.99812,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),0-29,profit_per_user,0.15627,0.1547,0.00157,-0.00574,0.00888,1.01351,0.42027,0.67429,0.8341,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),30-69,order_rate,0.10258,0.09897,0.00361,-0.00233,0.00955,3.65065,1.1923,0.23314,0.39158,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),30-69,profit_per_user,0.15274,0.14204,0.0107,0.00139,0.02001,7.534,2.25217,0.02432,0.09811,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),70-79,order_rate,0.09594,0.10581,-0.00987,-0.01849,-0.00125,-9.32569,-2.24403,0.02483,0.11015,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),70-79,profit_per_user,0.10329,0.10713,-0.00384,-0.01353,0.00585,-3.58492,-0.7768,0.43729,0.6795,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),80-89,order_rate,0.10186,0.10501,-0.00314,-0.01235,0.00606,-2.99487,-0.6701,0.50279,0.67039,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),80-89,profit_per_user,0.08591,0.07911,0.0068,-0.00105,0.01466,8.59689,1.69695,0.08972,0.28668,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),90-99,order_rate,0.09714,0.11668,-0.01954,-0.03311,-0.00599,-16.74668,-2.82758,0.00469,0.03698,True
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),90-99,profit_per_user,0.0549,0.06423,-0.00933,-0.01746,-0.0012,-14.5237,-2.2492,0.02453,0.09811,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),100,order_rate,0.03368,0.03702,-0.00334,-0.00688,0.0002,-9.01507,-1.84963,0.06437,0.17216,False
copay_9_vs_0,Raise buyer copay $0 -> $9 (same min-spend/count),100,profit_per_user,0.02871,0.0284,0.00032,-0.00273,0.00336,1.1214,0.20495,0.83761,0.87571,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),0-29,order_rate,0.08151,0.08159,-9e-05,-0.00369,0.00351,-0.10641,-0.0473,0.96228,0.99812,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),0-29,profit_per_user,0.15803,0.15838,-0.00036,-0.00782,0.0071,-0.22518,-0.0937,0.92534,0.92534,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),30-69,order_rate,0.10062,0.10518,-0.00456,-0.01056,0.00143,-4.33845,-1.49159,0.13581,0.27161,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),30-69,profit_per_user,0.14862,0.16025,-0.01163,-0.02124,-0.00202,-7.25666,-2.37109,0.01774,0.09811,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),70-79,order_rate,0.10234,0.10119,0.00115,-0.00756,0.00987,1.1374,0.25898,0.79565,0.95478,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),70-79,profit_per_user,0.11288,0.11443,-0.00155,-0.01193,0.00882,-1.35568,-0.29306,0.76948,0.87571,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),80-89,order_rate,0.09877,0.0904,0.00837,-0.00051,0.01726,9.2634,1.8483,0.06456,0.17216,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),80-89,profit_per_user,0.08016,0.06573,0.01442,0.00708,0.02176,21.94355,3.85234,0.00012,0.00282,True
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),90-99,order_rate,0.09022,0.0841,0.00612,-0.00618,0.01841,7.27644,0.97665,0.32874,0.46411,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),90-99,profit_per_user,0.05218,0.04218,0.01,0.00285,0.01714,23.69652,2.74248,0.00611,0.04889,True
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),100,order_rate,0.02976,0.03037,-0.0006,-0.00387,0.00266,-1.98837,-0.36261,0.71689,0.90555,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),100,profit_per_user,0.02643,0.02834,-0.0019,-0.00506,0.00126,-6.71072,-1.17966,0.23814,0.44508,False
