comparison,tier,observed_pct_lift,current_n_per_arm,required_n_per_arm,mde_pct_lift,status
voucher_vs_none,0-29,3.5,11794,291900.0,17.9,underpowered
voucher_vs_none,30-69,-5.3,5185,92100.0,23.9,underpowered
voucher_vs_none,70-79,27.1,2466,5500.0,41.4,underpowered
voucher_vs_none,80-89,16.5,2258,12700.0,40.9,underpowered
voucher_vs_none,90-99,29.6,1060,4000.0,60.1,underpowered
voucher_vs_none,100,6.1,5650,250800.0,43.7,underpowered
minspend_299_vs_249,0-29,-1.4,11971,1724600.0,17.4,underpowered
minspend_299_vs_249,30-69,-0.4,5323,14963800.0,24.4,underpowered
minspend_299_vs_249,70-79,-5.5,2466,88900.0,35.9,underpowered
minspend_299_vs_249,80-89,-0.5,2210,10649500.0,37.7,underpowered
minspend_299_vs_249,90-99,10.4,1060,22300.0,51.0,underpowered
minspend_299_vs_249,100,0.7,5543,16224300.0,42.7,underpowered
copay_9_vs_0,0-29,0.5,11984,13157000.0,17.4,underpowered
copay_9_vs_0,30-69,3.8,5276,199200.0,24.5,underpowered
copay_9_vs_0,70-79,1.5,2410,1243200.0,36.3,underpowered
copay_9_vs_0,80-89,3.9,2230,181300.0,37.6,underpowered
copay_9_vs_0,90-99,-7.9,1060,35400.0,51.0,underpowered
copay_9_vs_0,100,-5.7,5619,252000.0,42.4,underpowered
count_3_vs_1,0-29,-3.7,11653,247900.0,18.1,underpowered
count_3_vs_1,30-69,-11.3,5265,18200.0,22.5,underpowered
count_3_vs_1,70-79,0.2,2448,64803700.0,35.3,underpowered
count_3_vs_1,80-89,-3.9,2177,201000.0,40.8,underpowered
count_3_vs_1,90-99,1.3,1073,1874200.0,60.8,underpowered
count_3_vs_1,100,2.3,5501,1743100.0,44.3,underpowered
