shipping_base_cost,total_addressable_users,twd_per_usd,budget_usd,top_allocated_segment,total_incremental_profit,blended_roi_pct,users_reached
20.0,250000,28.0,35714.29,70-79/s19_m199_c1,575.06,1.61,121071
20.0,250000,31.5,31746.03,70-79/s19_m199_c1,568.07,1.79,120435
20.0,250000,35.0,28571.43,70-79/s19_m199_c1,562.47,1.97,119927
20.0,500000,28.0,35714.29,70-79/s19_m199_c1,1087.19,3.04,236418
20.0,500000,31.5,31746.03,70-79/s19_m199_c1,1080.2,3.4,235782
20.0,500000,35.0,28571.43,70-79/s19_m199_c1,1074.6,3.76,235273
20.0,1000000,28.0,35714.29,70-79/s19_m199_c1,2111.43,5.91,467114
20.0,1000000,31.5,31746.03,70-79/s19_m199_c1,2050.3,6.46,374516
20.0,1000000,35.0,28571.43,70-79/s19_m199_c1,1986.5,6.95,275136
30.0,250000,28.0,35714.29,70-79/s19_m199_c1,266.33,0.75,31479
30.0,250000,31.5,31746.03,70-79/s19_m199_c1,244.88,0.77,28094
30.0,250000,35.0,28571.43,70-79/s19_m199_c1,227.72,0.8,25387
30.0,500000,28.0,35714.29,70-79/s19_m199_c1,301.57,0.84,31970
30.0,500000,31.5,31746.03,70-79/s19_m199_c1,268.06,0.84,28420
30.0,500000,35.0,28571.43,70-79/s19_m199_c1,241.26,0.84,25576
30.0,1000000,28.0,35714.29,70-79/s19_m199_c1,301.57,0.84,31970
30.0,1000000,31.5,31746.03,70-79/s19_m199_c1,268.06,0.84,28420
30.0,1000000,35.0,28571.43,70-79/s19_m199_c1,241.26,0.84,25576
40.0,250000,28.0,35714.29,70-79/s19_m199_c1,157.97,0.44,16746
40.0,250000,31.5,31746.03,70-79/s19_m199_c1,140.41,0.44,14886
40.0,250000,35.0,28571.43,70-79/s19_m199_c1,126.37,0.44,13397
40.0,500000,28.0,35714.29,70-79/s19_m199_c1,157.97,0.44,16746
40.0,500000,31.5,31746.03,70-79/s19_m199_c1,140.41,0.44,14886
40.0,500000,35.0,28571.43,70-79/s19_m199_c1,126.37,0.44,13397
40.0,1000000,28.0,35714.29,70-79/s19_m199_c1,157.97,0.44,16746
40.0,1000000,31.5,31746.03,70-79/s19_m199_c1,140.41,0.44,14886
40.0,1000000,35.0,28571.43,70-79/s19_m199_c1,126.37,0.44,13397
